customer_id,name,email,age,gender,country,signup_date,last_login,is_active,total_spent,preferences
0e99a07c-c7a5-43df-b5f3-79e2a9f18fc6,Thomas Lamb,robinjackson@wright.com,,Female,France,2023-03-01,2025-05-29 22:36:25,True,1438.4,"{""newsletter"": true, ""notifications"": ""push"", ""language"": ""en""}"
3a69ac3e-6726-431c-82a7-5241ef568188,Kimberly Blake,susan51@johnson-garrett.com,20.0,Male,Guinea-Bissau,2020-12-14,2025-03-21 23:52:55,True,2364.98,"{""newsletter"": true, ""notifications"": ""push"", ""language"": ""fr""}"
c63cab5f-dc06-4842-926a-118f85a2e7ae,William Taylor,leahwilliams@gmail.com,,Female,Kenya,2023-11-16,2024-09-05 04:59:24,False,5913.19,"{""newsletter"": true, ""notifications"": ""email"", ""language"": ""de""}"
50b165d0-6486-4d5b-bcb8-12147c6f8160,Amanda Wright,brian56@gmail.com,27.0,Other,Mexico,2021-09-03,2025-02-06 07:51:31,True,972.82,"{""newsletter"": true, ""notifications"": ""sms"", ""language"": ""es""}"
4657a2b1-abae-49ab-95d4-d21b878eb69e,Molly Watson,danieldiaz@hendricks.net,69.0,,Taiwan,2022-11-05,2025-06-14 04:15:42,True,9732.5,"{""newsletter"": false, ""notifications"": ""email"", ""language"": ""es""}"
0ffe272a-f261-4503-9aa2-33cac8959e0a,Kelly Boyd,lisa87@gmail.com,,Female,Bouvet Island (Bouvetoya),2023-07-14,2025-03-05 14:30:02,True,505.95,"{""newsletter"": true, ""notifications"": ""sms"", ""language"": ""en""}"
ca9191a8-f736-46c8-b727-cfaa320a1c89,Jeremy Rios,jperry@gmail.com,,Other,Saint Pierre and Miquelon,2023-09-02,2024-10-01 20:41:01,False,6375.06,"{""newsletter"": false, ""notifications"": ""email"", ""language"": ""es""}"
808301e6-260a-47af-a2d3-5533a5b184b0,Jason Hicks,megansaunders@lee.com,,Male,Guadeloupe,2022-01-27,2025-04-01 11:16:10,True,5364.69,"{""newsletter"": true, ""notifications"": ""email"", ""language"": ""de""}"
997d2ea4-5957-43df-bbc2-43d2929f75de,Rickey Snyder,allenrachel@hotmail.com,58.0,Other,Sri Lanka,2024-10-20,2025-02-10 23:58:09,True,2329.03,"{""newsletter"": true, ""notifications"": ""sms"", ""language"": ""de""}"
f1d943c5-9fba-4c95-a1d9-9f092ccbc7ea,Stefanie Moore,james40@gmail.com,,Female,Congo,2024-06-18,2025-01-14 12:13:09,False,3986.54,"{""newsletter"": false, ""notifications"": ""email"", ""language"": ""es""}"
