customer_id,name,email,age,gender,country,signup_date,last_login,is_active,total_spent
20780d38-901f-4500-b108-4b978b152c3c,Michael Malone,dhart@haynes.com,58,Male,Saint Barthelemy,2021-04-29,2024-10-20 15:56:26,True,3733.6
a2c56b05-acdc-4a7c-8569-6aefd01bd7b8,Edwin Wall,bradley08@yahoo.com,33,Male,United Arab Emirates,2025-01-02,2025-06-19 22:44:59,True,3708.71
2fe8ff2e-19ea-4933-a1d2-24cd5310b628,Rachel Strong,heather15@schmidt.com,61,Other,Israel,2023-02-13,2025-04-12 21:14:26,True,2993.41
5fd9f4a6-2134-41b8-82a7-d0b34c57a3ae,Eddie Rodriguez,mitchell49@hotmail.com,20,Male,Nigeria,2024-07-06,2025-03-06 17:09:20,True,1171.33
b290eed5-e70c-48df-9040-359f78804018,Kayla Powell,johnnash@hotmail.com,50,Other,Burkina Faso,2021-02-23,2025-01-13 19:44:54,True,2850.1
24b43312-3db8-408d-82a6-62347d22d8e5,Kathleen Nelson,qpena@gmail.com,63,Other,United Kingdom,2022-05-27,2024-11-05 16:18:01,False,1180.16
3a86653f-6238-47af-9559-b84eb99ced9b,Nicolas Kennedy,catherineblack@warren.com,55,Female,Brunei Darussalam,2020-07-14,2025-01-01 09:16:51,True,3818.16
50fa937d-7f45-474a-86da-fe417e33229e,Jacqueline Reid,smithjoshua@baker.com,28,Other,Barbados,2023-02-22,2025-05-18 18:52:40,False,1767.23
f2f262fe-cf1b-4c1a-857e-cbfbcd03889c,Matthew Mendez,jeremymontoya@harper-doyle.info,27,Male,Peru,2024-11-24,2025-04-03 14:33:58,False,600.83
83b4a2bc-e88f-4b97-9851-7363afa76edb,Jay Little,brogers@wright-woods.com,42,Male,Nauru,2024-04-27,2025-05-22 04:00:29,False,4252.72
635e0da3-f233-44be-a941-e06797a2f895,Amber Ray,alan33@taylor.net,56,Female,Aruba,2024-02-28,2024-12-26 15:55:41,True,3675.69
c553488d-8377-470e-b49a-76a85f993817,Elizabeth Ellis,jjohnson@smith-thomas.info,52,Male,Germany,2021-11-02,2025-06-25 17:00:08,False,486.12
60b00456-bd0f-409a-a78e-42ca23f23abd,Mary Brown,bernardsarah@gmail.com,36,Other,Norfolk Island,2024-11-28,2025-02-23 00:56:05,False,2929.03
0553e350-b76a-4e6f-b170-f29e3b493c98,Christopher Hall,arthurolson@yahoo.com,63,Male,Ecuador,2022-08-15,2024-10-10 13:16:35,True,3340.19
ce723df7-7023-41ae-8936-e7298eac315b,Tara Brady,qmcdonald@hotmail.com,67,Female,Djibouti,2021-06-10,2025-05-04 19:21:29,True,4291.06
748ba422-6a3b-4161-80be-ba1f31b22e14,William Moore,griffindakota@hotmail.com,24,Female,Jamaica,2020-09-30,2024-12-09 08:09:59,False,2321.71
954be51f-75ae-4f2e-bd16-237c7d3a5920,Laura Mathews,dylanrivera@hicks.com,41,Male,Ethiopia,2022-04-27,2025-05-20 17:56:34,False,1840.83
